discord,entropy_range,mean_entropy,mean_mean,mean_variance,n_qubits,repetition,sequence_length,std_entropy,steering,task,theta,type
0.999858611267083,,,,,4,0,,,1.0,,0,discord_decay
0.9997395778750683,,,,,4,1,,,1.0,,0,discord_decay
0.9995123141215677,,,,,4,2,,,1.0,,0,discord_decay
0.8900476098854431,,,,,4,0,,,0.96,,15,discord_decay
0.8528191755321906,,,,,4,1,,,0.953,,15,discord_decay
0.8786656983053546,,,,,4,2,,,0.964,,15,discord_decay
0.6346003065313468,,,,,4,0,,,0.835,,30,discord_decay
0.6488238477876487,,,,,4,1,,,0.823,,30,discord_decay
0.6226529857455303,,,,,4,2,,,0.826,,30,discord_decay
0.3978068687243326,,,,,4,0,,,0.65,,45,discord_decay
0.3759592835833778,,,,,4,1,,,0.636,,45,discord_decay
0.38660770137023825,,,,,4,2,,,0.635,,45,discord_decay
0.15333873910217521,,,,,4,0,,,0.402,,60,discord_decay
0.17741765346227423,,,,,4,1,,,0.427,,60,discord_decay
0.18340320331393656,,,,,4,2,,,0.407,,60,discord_decay
0.054641088229831825,,,,,4,0,,,0.222,,75,discord_decay
0.06283830737898244,,,,,4,1,,,0.243,,75,discord_decay
0.04000077413542402,,,,,4,2,,,0.168,,75,discord_decay
0.0013121177576169707,,,,,4,0,,,0.001,,90,discord_decay
0.0008279307903809041,,,,,4,1,,,0.018,,90,discord_decay
0.00014098334723300354,,,,,4,2,,,0.01,,90,discord_decay
0.99971144175281,,,,,6,0,,,1.0,,0,discord_decay
0.9999127151897329,,,,,6,1,,,1.0,,0,discord_decay
0.999858611267083,,,,,6,2,,,1.0,,0,discord_decay
0.8729900507917473,,,,,6,0,,,0.957,,15,discord_decay
0.8788013442283258,,,,,6,1,,,0.959,,15,discord_decay
0.881707342642416,,,,,6,2,,,0.961,,15,discord_decay
0.6661046235321949,,,,,6,0,,,0.844,,30,discord_decay
0.6721032180835265,,,,,6,1,,,0.851,,30,discord_decay
0.6296605032727367,,,,,6,2,,,0.825,,30,discord_decay
0.3747603674322775,,,,,6,0,,,0.648,,45,discord_decay
0.4040272927225388,,,,,6,1,,,0.656,,45,discord_decay
0.3981622754493751,,,,,6,2,,,0.651,,45,discord_decay
0.1834427910182992,,,,,6,0,,,0.437,,60,discord_decay
0.1771700227185793,,,,,6,1,,,0.4,,60,discord_decay
0.1601874664439591,,,,,6,2,,,0.404,,60,discord_decay
0.043343415299151644,,,,,6,0,,,0.199,,75,discord_decay
0.049462314749195935,,,,,6,1,,,0.204,,75,discord_decay
0.049715782524841545,,,,,6,2,,,0.204,,75,discord_decay
0.0005741468110345149,,,,,6,0,,,0.017,,90,discord_decay
0.0007272327047334048,,,,,6,1,,,0.007,,90,discord_decay
0.006141254067786317,,,,,6,2,,,0.023,,90,discord_decay
,0,0.0,0.0,0.0,4,,4,0.0,,sine,,reservoir
,0,0.0,0.0,0.0,4,,4,0.0,,square,,reservoir
,0,0.0,0.0,0.0,4,,4,0.0,,sawtooth,,reservoir
,0,0.0,0.0,0.0,4,,4,0.0,,chaotic,,reservoir
